Wall time,Step,Value
1731052809.3742964,2048,113.625
1731052812.1235418,4096,166.27777099609375
1731052815.253736,6144,295.46429443359375
1731052819.0013278,8192,382.4473571777344
1731052821.3807893,10240,553.2291870117188
1731052823.7965257,12288,562.3275756835938
1731052826.2524116,14336,566.5294189453125
1731052828.5943596,16384,613.5384521484375
1731052830.9179974,18432,641.2613525390625
1731052833.1956353,20480,691.5816040039062
1731052835.557027,22528,682.9536743164062
1731052837.8826187,24576,674.5932006835938
1731052840.2580156,26624,695.8984375
1731052842.6349816,28672,720.8768310546875
1731052845.2617533,30720,742.3378295898438
1731052847.7651176,32768,754.9810180664062
1731052850.7578113,34816,753.65478515625
1731052853.2276142,36864,757.6011352539062
1731052855.5743642,38912,766.39892578125
1731052857.9096,40960,773.3283081054688
1731052860.3249733,43008,797.510009765625
1731052863.2188382,45056,850.2449951171875
1731052865.9425561,47104,846.739990234375
1731052869.174736,49152,839.9199829101562
1731052871.6556118,51200,850.6599731445312
1731052874.45828,53248,851.2899780273438
1731052877.1019676,55296,889.375
1731052879.6824403,57344,859.7249755859375
1731052882.163215,59392,842.260009765625
1731052884.5405262,61440,842.02001953125
1731052886.9044092,63488,852.0050048828125
1731052889.2713904,65536,860.9450073242188
1731052891.741042,67584,831.3400268554688
1731052894.3861082,69632,813.9249877929688
1731052897.023988,71680,775.4349975585938
1731052899.4418921,73728,782.2999877929688
1731052901.8928401,75776,797.5650024414062
1731052904.475871,77824,819.7000122070312
1731052906.9773247,79872,738.5349731445312
1731052909.222198,81920,680.1699829101562
1731052911.4469173,83968,670.0900268554688
1731052913.693344,86016,661.2849731445312
1731052915.9698036,88064,688.3400268554688
1731052918.2151492,90112,655.39501953125
1731052920.4774034,92160,662.3099975585938
1731052922.7385767,94208,678.9450073242188
1731052925.001775,96256,689.1849975585938
1731052927.2804685,98304,702.2750244140625
1731052929.5820959,100352,708.0999755859375
1731052931.8370855,102400,702.905029296875
1731052934.1171184,104448,712.8800048828125
1731052936.3780174,106496,749.989990234375
1731052938.6093612,108544,764.0
1731052940.8240306,110592,799.6300048828125
1731052943.0235028,112640,816.3699951171875
1731052945.252349,114688,783.3699951171875
1731052947.4954212,116736,781.5999755859375
1731052949.7402322,118784,771.2449951171875
1731052951.9859428,120832,806.8250122070312
1731052954.2470787,122880,881.4949951171875
1731052956.5587027,124928,931.4600219726562
1731052958.8059857,126976,898.4400024414062
1731052961.075953,129024,915.875
1731052963.3042839,131072,984.6849975585938
1731052965.6443648,133120,999.4299926757812
1731052968.0481565,135168,930.0399780273438
1731052970.5156941,137216,917.1900024414062
1731052972.9680443,139264,946.7750244140625
1731052975.4008312,141312,989.489990234375
1731052977.852753,143360,987.9000244140625
1731052980.2837474,145408,1030.199951171875
1731052982.6715734,147456,1030.614990234375
1731052985.3192973,149504,1062.7449951171875
1731052987.9191337,151552,1075.1700439453125
1731052990.5166922,153600,1113.969970703125
1731052993.1656578,155648,1130.4150390625
1731052995.5906568,157696,1165.989990234375
1731052997.8859928,159744,1192.8050537109375
1731053000.0976274,161792,1280.9599609375
1731053002.3270464,163840,1312.93505859375
1731053004.5579002,165888,1341.1600341796875
1731053006.8195157,167936,1428.489990234375
1731053009.0650337,169984,1467.18994140625
1731053011.3286145,172032,1509.550048828125
1731053013.5732114,174080,1534.969970703125
1731053015.9453263,176128,1682.3800048828125
1731053018.156738,178176,1753.969970703125
1731053020.392709,180224,1814.64501953125
1731053022.623602,182272,1888.8499755859375
1731053024.8851106,184320,1991.875
1731053027.0987685,186368,2054.699951171875
1731053029.3140428,188416,2141.9150390625
1731053031.5443447,190464,2231.919921875
1731053033.788914,192512,2316.860107421875
1731053036.018859,194560,2418.344970703125
1731053038.310129,196608,2545.215087890625
1731053040.5574195,198656,2630.7900390625
1731053042.802917,200704,2719.044921875
1731053044.9999738,202752,2800.14501953125
1731053047.2445123,204800,2880.22509765625
1731053049.4745421,206848,2820.695068359375
1731053051.706086,208896,2793.550048828125
1731053053.9365277,210944,2838.340087890625
1731053056.1358569,212992,2895.39501953125
1731053058.3876333,215040,2947.330078125
1731053060.64064,217088,2991.60009765625
1731053062.8539865,219136,3026.030029296875
1731053065.0996356,221184,3076.635009765625
1731053067.313638,223232,3100.175048828125
1731053069.5430803,225280,3119.10009765625
1731053071.7707422,227328,3137.6650390625
1731053074.0161524,229376,3033.889892578125
1731053076.2781239,231424,3018.544921875
1731053078.491317,233472,2988.35498046875
1731053080.6903071,235520,2983.75
1731053082.9279873,237568,2984.18505859375
1731053085.1984363,239616,2982.364990234375
1731053087.436272,241664,2986.4150390625
1731053089.613103,243712,2983.554931640625
1731053091.8446417,245760,2983.554931640625
1731053094.056363,247808,2996.284912109375
1731053096.2862563,249856,3029.02490234375
1731053098.5296543,251904,3026.294921875
